Hostname,nombre_red,Plugin,Plugin Name,IP Address,Severidad,Port,Protocol,Solution,CVSS_Final,fecha_escaneo,Segmento,CVE,Family,Fixed
medseccimed08.rbm.com.co,Estaciones de trabajo,150352,Microsoft 3D Viewer Multiple Vulnerabilities (June 2021),192.168.30.17,Alta,0,TCP,"Upgrade to app version 7.2105.4012.0, or later via the Microsoft Store.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-31942,CVE-2021-31943,CVE-2021-31944",Windows,No
medseccimed08.rbm.com.co,Estaciones de trabajo,150356,Security Updates for Microsoft Office Products (June 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:
  -KB5001950
  -KB5001951
  -KB5001953
  -KB5001955   For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-31939,CVE-2021-31940,CVE-2021-31941,CVE-2021-31949",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,150371,Security Updates for Microsoft Excel Products (June 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001947
  -KB5001963   For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-31939,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,151590,Security Updates for Microsoft Word Products (July 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released KB5001949 to address this issue.

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-34452,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,151595,Security Updates for Microsoft Office Products (July 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001979
  -KB5001983

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",8.1,10/02/2022,Estaciones de trabajo,CVE-2021-34469,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,151609,Security Updates for Microsoft Excel Products (July 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001993
  -KB5001977

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-34501,CVE-2021-34518",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,152520,Security Updates for Microsoft Office Products (August 2021),192.168.30.17,Alta,445,TCP,"For Office C2r, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-34478,CVE-2021-36941",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,152521,Security Updates for Microsoft Word Products (August 2021),192.168.30.17,Alta,445,TCP,"For Office C2r, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-34478,CVE-2021-36941",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,153380,Security Updates for Microsoft Excel Products (September 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5002003
  -KB5002014

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-38655,CVE-2021-38660",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,153387,Security Updates for Microsoft Office Products (September 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB4484103
  -KB4484108
  -KB5001958
  -KB5001997
  -KB5002005
  -KB5002007

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-38646,CVE-2021-38650,CVE-2021-38655,CVE-2021-38657,CVE-2021-38658,CVE-2021-38659,CVE-2021-38660",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,154027,Security Updates for Microsoft Excel Products (October 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5002030
  -KB5002043

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-40471,CVE-2021-40472,CVE-2021-40473,CVE-2021-40474,CVE-2021-40479,CVE-2021-40485",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,154031,Security Updates for Microsoft Word Products (October 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5001960
  -KB5002004

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-40486,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,154038,Security Updates for Microsoft Office Products (October 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB4018332
  -KB5001982
  -KB5001985
  -KB4461476

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-40454,CVE-2021-40471,CVE-2021-40472,CVE-2021-40473,CVE-2021-40479",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,154982,Security Updates for Microsoft Excel Products (November 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5002056
  -KB5002072

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-40442,CVE-2021-42292",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,154988,Microsoft 3D Viewer Multiple Vulnerabilities (November 2021),192.168.30.17,Alta,0,TCP,"Upgrade to app version 7.2107.7012.0., or later via the Microsoft Store.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-43208,CVE-2021-43209",Windows,No
medseccimed08.rbm.com.co,Estaciones de trabajo,155000,Security Updates for Microsoft Office Products (November 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB4486670
  -KB5002032
  -KB5002038
  -KB5002035

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-40442,CVE-2021-41368,CVE-2021-42292",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,155306,Security Updates for Microsoft Word Products (November 2021),192.168.30.17,Alta,445,TCP,"For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-42296,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,156062,Security Updates for Microsoft Office Products (December 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:
  -KB4504710
  -KB4504745
  -KB4486726
  -KB5002033
  -KB5002099
  -KB5002104
  -KB5002101

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2021-42293,CVE-2021-42295,CVE-2021-43255,CVE-2021-43256,CVE-2021-43875",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,156074,Security Updates for Microsoft Excel Products (December 2021),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5002098
  -KB5002105

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2021-43256,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,156617,KB5009543: Windows 10 Version 20H2 / Windows 10 Version 21H1 / Windows 10 Version 21H2 Security Update (January 2022),192.168.30.17,Critica,445,TCP,Apply Cumulative Update KB5009543.,9.8,10/02/2022,Estaciones de trabajo,"CVE-2021-22947,CVE-2021-36976,CVE-2022-21833,CVE-2022-21834,CVE-2022-21835,CVE-2022-21836,CVE-2022-21838,CVE-2022-21843,CVE-2022-21847,CVE-2022-21848,CVE-2022-21849,CVE-2022-21850,CVE-2022-21851,CVE-2022-21852,CVE-2022-21857,CVE-2022-21858,CVE-2022-21859,CVE-2022-21860,CVE-2022-21861,CVE-2022-21862,CVE-2022-21863,CVE-2022-21864,CVE-2022-21865,CVE-2022-21866,CVE-2022-21867,CVE-2022-21868,CVE-2022-21869,CVE-2022-21870,CVE-2022-21871,CVE-2022-21872,CVE-2022-21873,CVE-2022-21874,CVE-2022-21875,CVE-2022-21876,CVE-2022-21877,CVE-2022-21878,CVE-2022-21879,CVE-2022-21880,CVE-2022-21881,CVE-2022-21882,CVE-2022-21883,CVE-2022-21884,CVE-2022-21885,CVE-2022-21888,CVE-2022-21889,CVE-2022-21890,CVE-2022-21892,CVE-2022-21893,CVE-2022-21894,CVE-2022-21895,CVE-2022-21896,CVE-2022-21897,CVE-2022-21898,CVE-2022-21900,CVE-2022-21901,CVE-2022-21902,CVE-2022-21904,CVE-2022-21905,CVE-2022-21906,CVE-2022-21907,CVE-2022-21908,CVE-2022-21910,CVE-2022-21912,CVE-2022-21913,CVE-2022-21914,CVE-2022-21915,CVE-2022-21916,CVE-2022-21918,CVE-2022-21919,CVE-2022-21920,CVE-2022-21921,CVE-2022-21922,CVE-2022-21924,CVE-2022-21925,CVE-2022-21928,CVE-2022-21958,CVE-2022-21959,CVE-2022-21960,CVE-2022-21961,CVE-2022-21962,CVE-2022-21963",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,156628,Security Updates for Microsoft Excel Products (January 2022),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB5002128
  -KB5002114

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2022-21840,CVE-2022-21841",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,156630,Security Updates for Microsoft Office Products (January 2022),192.168.30.17,Alta,445,TCP,"Microsoft has released the following security updates to address this issue:  
  -KB4462205
  -KB5002052
  -KB5002060
  -KB5002064
  -KB5002115
  -KB5002116
  -KB5002119
  -KB5002124

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,"CVE-2022-21840,CVE-2022-21841",Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,156631,Security Updates for Microsoft Word Products (January 2022),192.168.30.17,Alta,445,TCP,"Microsoft has released KB5002057 to address this issue.

For Office 365, Office 2016 C2R, or Office 2019, ensure automatic updates are enabled or open any office app and manually perform an update.",7.8,10/02/2022,Estaciones de trabajo,CVE-2022-21842,Windows : Microsoft Bulletins,No
medseccimed08.rbm.com.co,Estaciones de trabajo,157369,Microsoft Edge (Chromium) < 98.0.1108.43 Multiple Vulnerabilities,192.168.30.17,Media,445,TCP,Upgrade to Microsoft Edge version 98.0.1108.43 or later.,4.3,10/02/2022,Estaciones de trabajo,"CVE-2022-23261,CVE-2022-23262,CVE-2022-23263",Windows,No
medseccimed08.rbm.com.co,Estaciones de trabajo,157429,KB5010342: Windows 10 Version 20H2 / Windows 10 Version 21H1 / Windows 10 Version 21H2 Security Update (February 2022),192.168.30.17,Critica,445,TCP,Apply Cumulative Update 5010342,9.8,10/02/2022,Estaciones de trabajo,"CVE-2022-21971,CVE-2022-21974,CVE-2022-21981,CVE-2022-21984,CVE-2022-21985,CVE-2022-21989,CVE-2022-21992,CVE-2022-21993,CVE-2022-21994,CVE-2022-21995,CVE-2022-21997,CVE-2022-21998,CVE-2022-21999,CVE-2022-22000,CVE-2022-22001,CVE-2022-22002,CVE-2022-22710,CVE-2022-22712,CVE-2022-22715,CVE-2022-22717,CVE-2022-22718",Windows : Microsoft Bulletins,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,63155,Microsoft Windows Unquoted Service Path Enumeration,192.168.22.58,Alta,445,TCP,Ensure that any services that contain a space in the path enclose the path in quotes.,7.8,10/02/2022,Estaciones de trabajo,"CVE-2013-1609,CVE-2014-0759,CVE-2014-5455",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,73570,Oracle Java SE Multiple Vulnerabilities (April 2014 CPU),192.168.22.58,Critica,445,TCP,"Update to JDK / JRE 8 Update 5, 7 Update 55, 6 Update 75, or 5 Update 65 or later and, if necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 5 Update 65 or later or 6 Update 75 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2013-6629,CVE-2013-6954,CVE-2014-0429,CVE-2014-0432,CVE-2014-0446,CVE-2014-0448,CVE-2014-0449,CVE-2014-0451,CVE-2014-0452,CVE-2014-0453,CVE-2014-0454,CVE-2014-0455,CVE-2014-0456,CVE-2014-0457,CVE-2014-0458,CVE-2014-0459,CVE-2014-0460,CVE-2014-0461,CVE-2014-0463,CVE-2014-0464,CVE-2014-1876,CVE-2014-2397,CVE-2014-2398,CVE-2014-2401,CVE-2014-2402,CVE-2014-2403,CVE-2014-2409,CVE-2014-2410,CVE-2014-2412,CVE-2014-2413,CVE-2014-2414,CVE-2014-2420,CVE-2014-2421,CVE-2014-2422,CVE-2014-2423,CVE-2014-2427,CVE-2014-2428",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,76532,Oracle Java SE Multiple Vulnerabilities (July 2014 CPU),192.168.22.58,Critica,445,TCP,"Update to JDK / JRE 8 Update 11, 7 Update 65, 6 Update 81, or 5 Update 71 or later and, if necessary, remove any affected versions.

Note that an extended support contract with Oracle is needed to obtain JDK / JRE 5 Update 71 or later or 6 Update 81 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2014-2483,CVE-2014-2490,CVE-2014-4208,CVE-2014-4209,CVE-2014-4216,CVE-2014-4218,CVE-2014-4219,CVE-2014-4220,CVE-2014-4221,CVE-2014-4223,CVE-2014-4227,CVE-2014-4244,CVE-2014-4247,CVE-2014-4252,CVE-2014-4262,CVE-2014-4263,CVE-2014-4264,CVE-2014-4265,CVE-2014-4266,CVE-2014-4268",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,78481,Oracle Java SE Multiple Vulnerabilities (October 2014 CPU),192.168.22.58,Critica,445,TCP,"Update to JDK / JRE 8 Update 25, 7 Update 71, 6 Update 85, or 5 Update 75 or later and, if necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 5 Update 75 or later or 6 Update 85 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2014-4288,CVE-2014-6456,CVE-2014-6457,CVE-2014-6458,CVE-2014-6466,CVE-2014-6468,CVE-2014-6476,CVE-2014-6485,CVE-2014-6492,CVE-2014-6493,CVE-2014-6502,CVE-2014-6503,CVE-2014-6504,CVE-2014-6506,CVE-2014-6511,CVE-2014-6512,CVE-2014-6513,CVE-2014-6515,CVE-2014-6517,CVE-2014-6519,CVE-2014-6527,CVE-2014-6531,CVE-2014-6532,CVE-2014-6558,CVE-2014-6562",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,80908,Oracle Java SE Multiple Vulnerabilities (January 2015 CPU) (POODLE),192.168.22.58,Critica,445,TCP,"Update to JDK / JRE 8 Update 31, 7 Update 75, 6 Update 91, or 5 Update 81 or later, and if necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 5 Update 81 or later, or 6 Update 91 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2014-3566,CVE-2014-6549,CVE-2014-6585,CVE-2014-6587,CVE-2014-6591,CVE-2014-6593,CVE-2014-6601,CVE-2015-0383,CVE-2015-0395,CVE-2015-0400,CVE-2015-0403,CVE-2015-0406,CVE-2015-0407,CVE-2015-0408,CVE-2015-0410,CVE-2015-0412,CVE-2015-0413,CVE-2015-0421,CVE-2015-0437",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,82820,Oracle Java SE Multiple Vulnerabilities (April 2015 CPU) (FREAK),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 45, 7 Update 79, 6 Update 95, or 5 Update 85 or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 5 Update 85 or later and 6 Update 95 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2015-0204,CVE-2015-0458,CVE-2015-0459,CVE-2015-0460,CVE-2015-0469,CVE-2015-0470,CVE-2015-0477,CVE-2015-0478,CVE-2015-0480,CVE-2015-0484,CVE-2015-0486,CVE-2015-0488,CVE-2015-0491,CVE-2015-0492",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,84824,Oracle Java SE Multiple Vulnerabilities (July 2015 CPU) (Bar Mitzvah),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 51, 7 Update 85, 6 Update 101, or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 95 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2015-2590,CVE-2015-2596,CVE-2015-2601,CVE-2015-2613,CVE-2015-2619,CVE-2015-2621,CVE-2015-2625,CVE-2015-2627,CVE-2015-2628,CVE-2015-2632,CVE-2015-2637,CVE-2015-2638,CVE-2015-2659,CVE-2015-2664,CVE-2015-2808,CVE-2015-4000,CVE-2015-4729,CVE-2015-4731,CVE-2015-4732,CVE-2015-4733,CVE-2015-4736,CVE-2015-4748,CVE-2015-4749,CVE-2015-4760",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,86542,Oracle Java SE Multiple Vulnerabilities (October 2015 CPU),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 65, 7 Update 91, 6 Update 105, or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 95 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2015-4835,CVE-2015-4881,CVE-2015-4843,CVE-2015-4883,CVE-2015-4860,CVE-2015-4805,CVE-2015-4844,CVE-2015-4901,CVE-2015-4868,CVE-2015-4810,CVE-2015-4806,CVE-2015-4871,CVE-2015-4902,CVE-2015-4840,CVE-2015-4882,CVE-2015-4842,CVE-2015-4734,CVE-2015-4903,CVE-2015-4803,CVE-2015-4893,CVE-2015-4911,CVE-2015-4872,CVE-2015-4906,CVE-2015-4916,CVE-2015-4908",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,88045,Oracle Java SE Multiple Vulnerabilities (January 2016 CPU) (SLOTH),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 71, 7 Update 95, 6 Update 111, or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 111 or later.",9.8,10/02/2022,Estaciones de trabajo,"CVE-2015-7575,CVE-2015-8126,CVE-2016-0402,CVE-2016-0448,CVE-2016-0466,CVE-2016-0475,CVE-2016-0483,CVE-2016-0494",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,90625,Oracle Java SE Multiple Vulnerabilities (April 2016 CPU),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 91, 7 Update 101, or 6 Update 115 or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 115 or later.",9.6,10/02/2022,Estaciones de trabajo,"CVE-2016-0686,CVE-2016-0687,CVE-2016-0695,CVE-2016-3422,CVE-2016-3425,CVE-2016-3426,CVE-2016-3427,CVE-2016-3443,CVE-2016-3449",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,90828,Oracle Java SE Hotspot JSR 292 Method Handles RCE,192.168.22.58,Alta,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 77, 7 Update 99 or later.
If necessary, remove any affected versions.",8.1,10/02/2022,Estaciones de trabajo,CVE-2016-0636,Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,92516,Oracle Java SE Multiple Vulnerabilities (July 2016 CPU),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 101 / 7 Update 111 / 6 Update 121 or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 95 or later.",9.6,10/02/2022,Estaciones de trabajo,"CVE-2016-3458,CVE-2016-3485,CVE-2016-3498,CVE-2016-3500,CVE-2016-3503,CVE-2016-3508,CVE-2016-3511,CVE-2016-3550,CVE-2016-3552,CVE-2016-3587,CVE-2016-3598,CVE-2016-3606,CVE-2016-3610",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,94138,Oracle Java SE Multiple Vulnerabilities (October 2016 CPU),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 111 / 7 Update 121 / 6 Update 131 or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 95 or later.",9.6,10/02/2022,Estaciones de trabajo,"CVE-2016-5542,CVE-2016-5554,CVE-2016-5556,CVE-2016-5568,CVE-2016-5573,CVE-2016-5582,CVE-2016-5597",Windows,No
btajefcompcom17.rbm.com.co,Estaciones de trabajo,96628,Oracle Java SE Multiple Vulnerabilities (January 2017 CPU) (SWEET32),192.168.22.58,Critica,445,TCP,"Upgrade to Oracle JDK / JRE 8 Update 121 / 7 Update 131 / 6 Update 141 or later. If necessary, remove any affected versions.

Note that an Extended Support contract with Oracle is needed to obtain JDK / JRE 6 Update 95 or later.",9.6,10/02/2022,Estaciones de trabajo,"CVE-2016-2183,CVE-2016-5546,CVE-2016-5547,CVE-2016-5548,CVE-2016-5549,CVE-2016-5552,CVE-2016-8328,CVE-2017-3231,CVE-2017-3241,CVE-2017-3252,CVE-2017-3253,CVE-2017-3259,CVE-2017-3260,CVE-2017-3261,CVE-2017-3262,CVE-2017-3272,CVE-2017-3289",Windows,No
